Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand,Year,Month,Week,DayOfWeek,IsWeekend,Quarter,Revenue,Discount_Impact,Price_Diff,Stock_Turnover,Restock_Needed
2022-01-01,S001,P0001,Electronics,North,195,102,252,72.72,5,Snowy,0,85.73,Winter,0,115,2022,1,52,5,1,1,7417.44,3.636,-13.010000000000005,0.5204081632653061,0
2022-01-01,S001,P0002,Clothing,North,117,117,249,80.16,15,Snowy,1,92.02,Winter,0,229,2022,1,52,5,1,1,9378.72,12.024,-11.86,0.9915254237288136,0
2022-01-01,S001,P0003,Clothing,North,247,114,612,62.94,10,Snowy,1,60.08,Winter,0,157,2022,1,52,5,1,1,7175.16,6.294,2.8599999999999994,0.4596774193548387,0
2022-01-01,S001,P0004,Electronics,North,139,45,102,87.63,10,Snowy,0,85.19,Winter,0,52,2022,1,52,5,1,1,3943.35,8.763,2.4399999999999977,0.32142857142857145,0
2022-01-01,S001,P0005,Groceries,North,152,65,271,54.41,0,Snowy,0,51.63,Winter,0,59,2022,1,52,5,1,1,3536.6499999999996,0.0,2.779999999999994,0.42483660130718953,0
2022-01-01,S001,P0006,Toys,North,209,60,0,35.53,0,Snowy,0,40.01,Winter,0,55,2022,1,52,5,1,1,2131.8,0.0,-4.479999999999997,0.2857142857142857,0
2022-01-01,S001,P0007,Groceries,North,118,81,335,23.27,5,Snowy,0,24.78,Winter,0,94,2022,1,52,5,1,1,1884.87,1.1635,-1.5100000000000016,0.680672268907563,0
2022-01-01,S001,P0008,Electronics,North,244,42,0,37.79,5,Snowy,0,44.85,Winter,0,61,2022,1,52,5,1,1,1587.18,1.8895,-7.060000000000002,0.17142857142857143,0
2022-01-01,S001,P0009,Clothing,North,115,88,139,94.2,5,Snowy,0,108.7,Winter,0,129,2022,1,52,5,1,1,8289.6,4.71,-14.5,0.7586206896551724,0
2022-01-01,S001,P0010,Furniture,North,192,70,300,113.35,10,Snowy,0,129.98,Winter,0,69,2022,1,52,5,1,1,7934.5,11.335,-16.629999999999995,0.3626943005181347,0
2022-01-01,S001,P0011,Furniture,North,215,51,142,156.34,0,Snowy,0,188.96,Winter,0,64,2022,1,52,5,1,1,7973.34,0.0,-32.620000000000005,0.2361111111111111,0
2022-01-01,S001,P0012,Groceries,North,289,121,215,84.48,0,Snowy,0,92.02,Winter,0,104,2022,1,52,5,1,1,10222.08,0.0,-7.539999999999992,0.41724137931034483,0
2022-01-01,S001,P0013,Toys,North,279,113,0,33.1,5,Snowy,0,39.11,Winter,0,110,2022,1,52,5,1,1,3740.3,1.655,-6.009999999999998,0.4035714285714286,0
2022-01-01,S001,P0014,Groceries,North,252,121,479,80.13,10,Snowy,1,92.24,Winter,0,165,2022,1,52,5,1,1,9695.73,8.013,-12.11,0.4782608695652174,0
2022-01-01,S001,P0015,Toys,North,119,55,74,14.39,5,Snowy,0,13.59,Winter,0,64,2022,1,52,5,1,1,791.45,0.7195,0.8000000000000007,0.4583333333333333,0
2022-01-01,S001,P0016,Groceries,North,103,78,372,38.79,10,Snowy,0,35.14,Winter,0,115,2022,1,52,5,1,1,3025.62,3.8789999999999996,3.6499999999999986,0.75,0
2022-01-01,S001,P0017,Toys,North,128,59,0,21.21,0,Snowy,0,22.73,Winter,0,75,2022,1,52,5,1,1,1251.39,0.0,-1.5199999999999996,0.4573643410852713,0
2022-01-01,S001,P0018,Groceries,North,281,78,0,54.4,5,Snowy,0,54.1,Winter,0,66,2022,1,52,5,1,1,4243.2,2.72,0.29999999999999716,0.2765957446808511,0
2022-01-01,S001,P0019,Furniture,North,281,61,0,95.56,10,Snowy,0,103.05,Winter,0,58,2022,1,52,5,1,1,5829.16,9.556000000000001,-7.489999999999995,0.21631205673758866,0
2022-01-01,S001,P0020,Furniture,North,266,36,0,100.47,5,Snowy,0,115.24,Winter,0,43,2022,1,52,5,1,1,3616.92,5.0235,-14.769999999999996,0.1348314606741573,0
2022-01-01,S002,P0001,Groceries,South,102,102,331,90.89,0,Cloudy,0,81.87,Winter,0,118,2022,1,52,5,1,1,9270.78,0.0,9.019999999999996,0.9902912621359223,0
2022-01-01,S002,P0002,Toys,South,193,119,192,25.68,25,Cloudy,1,30.95,Winter,0,105,2022,1,52,5,1,1,3055.92,6.42,-5.27,0.6134020618556701,0
2022-01-01,S002,P0003,Groceries,South,187,167,596,95.17,10,Cloudy,1,84.24,Winter,0,171,2022,1,52,5,1,1,15893.39,9.517000000000001,10.930000000000007,0.8882978723404256,0
2022-01-01,S002,P0004,Groceries,South,160,111,339,39.54,10,Cloudy,0,46.57,Winter,0,110,2022,1,52,5,1,1,4388.94,3.9539999999999997,-7.030000000000001,0.6894409937888198,0
2022-01-01,S002,P0005,Electronics,South,155,103,334,92.35,0,Cloudy,0,104.72,Winter,0,94,2022,1,52,5,1,1,9512.05,0.0,-12.370000000000005,0.6602564102564102,0
2022-01-01,S002,P0006,Clothing,South,198,79,0,64.0,5,Cloudy,0,57.37,Winter,0,88,2022,1,52,5,1,1,5056.0,3.2,6.630000000000003,0.3969849246231156,0
2022-01-01,S002,P0007,Toys,South,233,89,226,25.47,10,Cloudy,0,30.08,Winter,0,93,2022,1,52,5,1,1,2266.83,2.5469999999999997,-4.609999999999999,0.3803418803418803,0
2022-01-01,S002,P0008,Groceries,South,124,124,99,25.63,5,Cloudy,0,29.79,Winter,0,112,2022,1,52,5,1,1,3178.12,1.2815,-4.16,0.992,0
2022-01-01,S002,P0009,Groceries,South,131,131,260,64.84,10,Cloudy,0,68.68,Winter,0,145,2022,1,52,5,1,1,8494.04,6.484000000000001,-3.8400000000000034,0.9924242424242424,0
2022-01-01,S002,P0010,Groceries,South,242,118,194,117.17,5,Cloudy,0,106.37,Winter,0,195,2022,1,52,5,1,1,13826.06,5.8585,10.799999999999997,0.48559670781893005,0
2022-01-01,S002,P0011,Groceries,South,206,49,191,84.71,10,Cloudy,0,76.07,Winter,0,79,2022,1,52,5,1,1,4150.79,8.470999999999998,8.64,0.23671497584541062,0
2022-01-01,S002,P0012,Electronics,South,197,78,413,78.86,0,Cloudy,0,69.84,Winter,0,122,2022,1,52,5,1,1,6151.08,0.0,9.019999999999996,0.3939393939393939,0
2022-01-01,S002,P0013,Groceries,South,152,93,331,21.76,10,Cloudy,0,21.12,Winter,0,109,2022,1,52,5,1,1,2023.68,2.176,0.6400000000000006,0.6078431372549019,0
2022-01-01,S002,P0014,Electronics,South,153,69,289,100.18,10,Cloudy,1,108.96,Winter,0,63,2022,1,52,5,1,1,6912.42,10.018,-8.779999999999987,0.44805194805194803,0
